یک,دختر,کوچک,بور,که,شورت,صورتی,پوشیده,است,,چوبی,به,همراه,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
دختری,کوچک,,در,کنار,خیابان,,با,چوب,بازی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
یک,دختر,جوان,در,خارج,از,خانه,خود,مشغول,بازی,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
یک,مرد,با,کت,قهوه,ای,در,حالی,که,می,خواست,گلابی,را,که,روی,سنگ,فرش,دست,انداز,ساخته,شده,از,آجر,افتاده,بود,بازیابی,کند,,با,دو,جعبه,میوه,ثابت,است.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
در,حالی,که,یک,گاری,چرخدار,که,جعبه,های,دول,را,حمل,می,کند,,دستی,به,یک,وسیله,افتاده,می,رسد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
مردی,که,یک,کامیون,دستی,جعبه,ها,را,هل,می,دهد,,برای,برداشتن,یک,گلابی,خم,می,شود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
مردی,که,محصول,را,حمل,می,کند,برای,برداشتن,یک,کالای,افتاده,دست,به,دست,می,شود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
مردی,در,تلاش,برای,برداشت,گلابی,خم,شده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
یک,فروشنده,خیابانی,زن,در,داخل,کیوسک,های,خود,ایستاده,است,که,به,نظر,می,رسد,انواع,تنقلات,خارجی,و,دست,ساز,را,می,فروشد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
زنی,با,لباس,طرح,گل,ایستاده,در,جایگاهی,شبیه,فروشگاه,رفاه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
زنی,به,دفتر,یک,مغازه,کوچک,لبخند,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
فروشنده,ای,که,در,ویترین,مغازه,اش,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
یک,خانم,که,در,یک,فروشگاه,راحتی,کار,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
مردی,با,یک,شلوار,جین,و,یک,لباس,زرد,با,کاغذی,که,از,جیب,عقبش,آویزان,است,از,خنده,یک,مرد,شلوار,جین,و,لباس,سفید,در,اتمام,جلسه,به,نظر,می,رسد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
چند,مرد,هندی,تبار,در,حال,گفتگو,هستند,و,به,خصوص,یک,نفر,از,این,مکالمه,بسیار,هیجان,زده,به,نظر,می,رسد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
گروهی,از,مردان,در,یک,فضای,روشن,دفتر,با,یکدیگر,صحبت,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
دو,مرد,در,وسط,اتاق,با,هم,صحبت,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
دو,مرد,در,یک,مرکز,آموزشی,با,یکدیگر,صحبت,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
زن,بومی,با,لباس,آبی,آناناس,و,میوه,های,دیگر,را,تهیه,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
زنی,با,لباس,آبی,رنگ,آناناس,تازه,را,قطع,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
زن,جزیره,ای,در,بیرون,با,آناناس,و,میوه,آشپزی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
زنی,با,لباس,خاکستری,در,حال,آماده,سازی,آناناس,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
زنان,دارای,اضافه,وزن,پوست,آناناس,را,تهیه,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
مردی,که,در,یک,ماراتن,در,حال,دویدن,است,از,کنار,3,بازیکن,گاو,نر,عبور,می,کند,,و,یک,درامر,,همه,یک,لباس,پوشیده,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
گروهی,با,کیلت,در,حال,بازی,گاودار,و,طبل,در,حالی,که,یک,دونده,,سیاه,پوش,,از,کنار,آنها,رد,می,شود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
زن,و,مرد,با,لباس,اسکاتلندی,با,نزدیک,شدن,یک,دونده,در,خیابان,,گودال,بازی,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
گروهی,از,افراد,در,کیلت,در,حالی,که,یک,دونده,سیاه,پوش,می,دوید,در,حال,پخش,موسیقی,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
یک,باند,مشغول,گارد,زدن,است,در,حالی,که,یک,مرد,با,پوشیدن,تمام,لباسهای,سیاه,دویدن,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
مردی,با,لباس,چای,سفید,,رنگ,های,جین,و,پیش,بند,آبی,برای,کباب,کردن,در,یک,تریلر,کامیون,شرکت,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
در,حالی,که,مرد,دیگری,این,تماشا,را,می,کند,,مردی,با,پیش,بند,آبی,کوره,را,به,سبک,بشکه,بلند,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
دو,مرد,کباب,خود,را,در,بشکه,کباب,بزرگ,اندازه,می,گیرند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
مردی,در,حالی,که,انبر,را,در,دست,داشت,کوره,کباب,پز,را,باز,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
مردی,با,لباس,های,آبی,رنگ,کباب,می,پزد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
دختر,جوانی,که,لباس,آبی,به,تن,دارد,با,یک,خرس,عروسکی,از,جاده,های,سنگریزه,ای,عبور,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
دختر,کوچک,لباس,جین,به,تن,کرده,و,یک,خرس,عروسکی,قهوه,ای,در,دست,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
دختربچه,ای,که,اسباب,بازی,را,در,دست,دارد,از,یک,خط,در,حال,دویدن,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
دختراني,كه,يك,خرس,عروسكي,را,در,دست,دارند,از,راه,مي,روند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
یک,دختر,کوچک,با,لباس,جین,از,مسیری,فرار,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
مردی,که,در,قایق,است,,با,شورت,ورزشی,,کلاه,بیس,بال,رو,به,عقب,و,عینک,آفتابی,ماهی,را,که,هنگام,ماهیگیری,صید,کرده,قلاب,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
در,قایق,تندرو,خود,مردی,با,لباس,خاکستری,وجود,دارد,که,ماهی,بزرگی,را,صید,کرده,و,شروع,به,بریدن,آن,کرده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
مردی,با,لباس,خاکستری,و,کلاه,سفید,ایستاده,در,یک,قایق,که,ماهی,را,در,دست,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
مردی,ماهی,مناسب,و,معقولی,را,صید,می,کند,و,دارد,آن,را,از,قلاب,خارج,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
مردی,که,در,یک,قایق,بود,ماهی,را,که,تازه,صید,کرده,از,حالت,قلاب,خارج,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
مردی,با,بالشتک,مخزن,سبز,که,پای,خرگوشهای,دور,گردن,خود,را,پوشانده,است,,روی,مبل,کوچکی,که,پنجره,آن,باز,است,نشسته,و,مردی,را,با,لباس,سفید,در,طرف,دیگر,پنجره,نشان,می,دهد,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
مردی,با,دم,اسبی,و,مخزن,برنزه,که,روی,نیمکت,نشسته,و,انگشتانش,را,می,شمارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
مردی,با,موهای,بلند,تیره,و,تاپ,مخزن,سبز,رنگ,انگشتانش,را,نگاه,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
یک,مرد,سفید,پوست,در,بالای,تانک,به,انگشتانش,نگاه,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
مردی,که,بالای,تانک,سبز,نشسته,و,روی,کاناپه,نشسته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
مردی,با,کلاه,و,لباس,سبز,رنگ,پشت,خود,را,به,دوربین,در,یک,آشپزخانه,صنعتی,پوشانده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
مردی,با,شلوار,آبی,در,یک,کارخانه,مشغول,کار,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
دو,کارگر,در,نانوایی,صنعتی,کار,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
مردی,با,لباس,سبز,در,حال,کار,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
یک,مرد,با,یک,لباس,سبز,در,یک,کارخانه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
دو,زن,با,شلوارک,و,لباس,در,حال,راه,رفتن,هستند,و,کیف,پول,های,خود,را,بر,روی,شانه,راست,خود,گرفته,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
دو,زن,جوان,جذاب,با,شلوارک,از,خیابانی,در,یک,شهر,شلوغ,عبور,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
دو,خانم,سکسی,در,حال,عبور,از,خیابان,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
دو,دختر,در,حال,عبور,از,خیابان,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
یک,خیابان,بسیار,شلوغ,شهر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
مردی,با,کوله,پشتی,سیاه,و,آبی,از,روی,صخره,ای,پایین,می,رود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
یک,کوهنورد,از,یک,مسیر,سنگلاخی,به,سمت,خشکی,با,آب,قدم,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
کوهنوردی,که,از,کوهی,پوشیده,از,برف,و,صخره,پایین,می,رود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
مرد,از,میان,سنگ,ها,و,برف,ها,بالا,می,رود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
کوله,پشتی,از,کوهی,سنگلاخ,پایین,می,رود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
این,تصویر,مربوط,به,یک,دختر,جوان,است,که,در,حال,تمرین,ژیمناستیک,در,یک,سالن,بدن,سازی,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
یک,ژیمناست,در,حالی,که,در,چندین,مرحله,قایقرانی,می,کند,,هواپیما,را,تصرف,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
یک,زن,در,حال,خرک,زدن,بر,روی,یک,شی,در,یک,سالن,ورزشی,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
یک,زن,در,یک,ساختمان,بزرگ,ژیمناستیک,انجام,می,دهد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
زنی,که,بالای,اسب,خرکی,خرک,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
یک,سگ,که,از,پشت,سگ,دیگری,در,برف,بالا,می,رود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
دو,سگ,که,روی,برف,دیگر,ایستاده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
یک,توله,سگ,با,یک,سگ,بزرگسال,در,برف,بازی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
دو,آزمایشگاه,زرد,در,برف,بازی,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
دو,سگ,بژ,در,برف,بازی,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
مردی,ملبس,به,لباس,تیره,و,کلاه,سیاه,به,طرز,نامطلوبی,از,لبه,سازند,صخره,ای,کوچک,که,بیشترین,قسمت,سازند,و,چشم,انداز,کویر,پشت,سر,او,است,پا,می,گذارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
مردی,در,شرف,قدم,زدن,از,لبه,سازند,سنگ,صحرا,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
شخصی,که,از,یک,سازند,سنگ,در,صحرا,می,پرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
مردی,از,صخره,ای,بیرون,می,آید,که,در,صحرا,قرار,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
شخصی,در,حال,دویدن,در,آن,سوی,یک,بیابان,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
سه,زن,با,روسری,که,کنار,هم,ایستاده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
سه,زن,با,لباس,و,روسری,بیرون,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
سه,زن,با,روسری,و,دامن,بلند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
سه,زن,با,روسری,دوربین,را,معاینه,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
سه,زن,مسلمان,به,دوربینی,نگاه,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
یک,فروشگاه,و,هتلی,خارجی,با,خیابان,هایی,که,به,نظر,می,رسد,یک,بچه,در,یک,دوچرخه,نشسته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
یک,پسر,کوچک,و,دوچرخه,اش,بیرون,هتل,کوتوپ,نشسته,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
پسری,که,بیرون,از,آشپزخانه,منتظر,دوچرخه,اش,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
یک,کودک,کوچک,با,دوچرخه,در,خارج,از,مغازه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
پسری,کنار,دوچرخه,,کنار,هتل,نشسته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
مردی,با,لباس,قرمز,و,شلوار,آبی,در,حالی,که,سگ,او,را,تماشا,می,کند,وارد,ساختمان,می,شود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
مردی,در,حالی,که,سگ,به,او,نگاه,می,کند,وارد,ساختمان,می,شود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
مردی,در,حالی,که,سگ,نگاه,می,کند,وارد,ساختمان,بنفش,می,شود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
مردی,با,لباس,قرمز,وارد,یک,موسسه,می,شود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
مردی,که,وارد,ساختمان,خارجی,می,شود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2,نفر,که,یک,لباس,آبی,پوشیده,و,دیگری,نارنجی,در,حال,دوچرخه,سواری,در,کشور,است,و,غروب,آفتاب,نارنجی,زیبایی,را,پشت,سر,خود,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
دو,پسران,دوچرخه,سواری,با,غروب,خورشید,یا,طلوع,در,پس,زمینه,,به,سمت,شما,سوار,می,شوند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
همزمان,با,طلوع,خورشید,,دو,نفر,در,جاده,های,کشور,دوچرخه,سواری,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
آفتاب,پشت,گروهی,از,درختان,که,سوار,طولانی,بودند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
2,نفر,در,هنگام,غروب,آفتاب,دوچرخه,سوار,می,شوند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
سگ,قهوه,ای,روی,چمن,,در,حال,نوشیدن,اسپری,آب,از,سمت,چپ,قاب,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
یک,سگ,قهوه,ای,در,حال,خم,شدن,است,و,می,خواهد,از,یک,جت,آب,بنوشد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
یک,سگ,قهوه,ای,بزرگ,صورت,خود,را,در,آب,پاش,می,چسباند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
یک,سگ,قهوه,ای,آب,را,از,یک,آب,پاش,روی,چمن,ها,شل,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
سگی,که,از,نهر,آب,می,خورد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
مردی,که,تی,شرت,Get,A,Job,به,تن,دارد,,در,حالی,که,عکسی,را,در,دست,چپ,خود,نگه,داشته,است,,با,دوربین,زرد,روشن,از,دارنده,دوربین,عکس,می,گیرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
مردی,که,لباس,نارنجی,به,تن,دارد,,عکس,می,گیرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
مردی,با,لباس,نارنجی,در,حال,عکس,گرفتن,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
مردی,که,عکس,می,گیرد,,کارت,پستال,در,دست,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
شخصی,که,دوربین,زرد,در,دست,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
بازیکنان,تیم,بیس,بال,در,زمین,ایستاده,اند,و,افراد,زیادی,از,جایگاه,تماشا,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
بازیکنان,بیس,بال,در,زمینی,در,استادیومی,پر,از,مردم,بازی,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
یک,تیم,در,یک,استادیوم,بزرگ,شلوغ,بیس,بال,بازی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
جمعیت,یک,تیم,بیس,بال,را,تشویق,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
بازی,در,استادیوم,بازی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
پسر,جوانی,با,لباس,قرمز,و,دوست,بزرگتر,او,در,حال,رفتن,به,یک,مسیر,سنگین,جنگلی,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
یک,مرد,و,یک,پسر,بسیار,جوان,تر,,هر,دو,کلاه,پوشیده,و,در,طبیعت,قدم,می,زنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
دو,کودک,از,مسیری,به,داخل,جنگل,می,روند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
مرد,و,کودک,با,کلاه,در,یک,دنباله,خاکی,راه,می,روند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
پدر,و,پسری,در,جنگل,پیاده,روی,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
یک,پسر,کوچک,با,کمک,پسر,دیگری,روی,زمین,از,یک,تیر,بالا,می,رود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
یک,پسر,به,پسر,دیگر,کمک,می,کند,تا,از,یک,تیر,سبز,در,خیابان,بالا,برود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
پسر,كوچك,پسر,كوچك,دیگری,را,به,بالای,تیر,می,كشاند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
پسر,در,تلاش,است,تا,دیگری,را,به,بالای,یک,تیر,فشار,دهد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
پسری,که,پسر,دیگری,را,به,بالای,یک,تیر,فشار,می,دهد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
مردی,با,لباس,و,کراوات,سفید,در,پیاده,رو,بین,سدهای,سیمان,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
مردی,با,لباس,و,کراوات,لباس,جلوی,تابلوی,فروش,دونات,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
مردی,در,میان,وسایل,سیمان,مقابل,مغازه,پیراشکی,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
انسان,بین,مانع,های,بتونی,نزدیک,یک,فروشگاه,پیراشکی,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
مردی,خوش,لباس,در,خیابان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
فردی,در,حالی,که,از,روی,اشیا,بالا,می,رود,در,حالی,که,کف,کفش,او,دیده,می,شود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
مردی,که,شلوار,جین,مشکی,و,کفش,اسکیت,باز,به,تن,کرده,از,یک,سالن,ورزشی,جنگل,صعود,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
کودکی,که,در,حال,صعود,به,بالای,سالن,بدنسازی,جنگل,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
پسری,به,بالای,یک,سالن,ورزشی,جنگل,می,رسد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
پسری,با,شلوار,جین,آبی,در,حال,کوهنوردی,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
یک,پسر,بور,با,یک,تی,شرت,آبی,در,حالی,که,لبخند,می,زند,در,مقابل,یک,کار,پارچه,نایلون,سبز,قرار,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
مرد,جوانی,با,عینک,شنا,که,لباسی,آبی,با,جمجمه,دزدان,دریایی,روی,آن,قرار,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
کودکی,با,عینکی,نزدیک,آب,بیرون,,ژست,می,گیرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
دختر,کوچکی,که,در,ساحل,لبخند,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
یک,بچه,جوان,در,ساحل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
